id,acceleration_x,acceleration_y,acceleration_z,angular_velocity_x,angular_velocity_y,angular_velocity_z,humidity,pressure,received_timestamp,temperature,timestamp
-OLrodMImiTiiZmL9G7P,1.07,-0.73,-10.93,-0.02,0,-0.05,53.78,101134.09,2025-03-21T15:29:46.005379,32.36,2025-03-21 15:29:45
-OLroeXbtM6F-VvJ7v15,1.07,-0.73,-10.88,-0.02,0,-0.05,53.74,101131.98,2025-03-21T15:29:51.022701,32.36,2025-03-21 15:29:50
-OLrofjLJ3mz8vN0_e4m,1.03,-0.77,-10.89,-0.02,0,-0.05,53.94,101131.59,2025-03-21T15:29:55.924605,32.29,2025-03-21 15:29:55
-OLrogxtU3sqJ3LG2amD,1,-0.7,-10.95,-0.02,0,-0.05,54.09,101131.58,2025-03-21T15:30:00.957435,32.25,2025-03-21 15:30:00
-OLroiBbyAk5V_Z-8MKa,1.08,-0.63,-10.89,-0.02,0,-0.05,54.19,101134.03,2025-03-21T15:30:05.981523,32.23,2025-03-21 15:30:05
-OLrojPXHa2IrkY7W-jH,1.04,-0.75,-10.93,-0.02,0,-0.05,54.28,101136.91,2025-03-21T15:30:10.990789,32.22,2025-03-21 15:30:10
-OLrokd8jZG2YL7vSP-u,1.1,-0.69,-10.96,-0.03,0,-0.05,54.36,101135.2,2025-03-21T15:30:16.008630,32.18,2025-03-21 15:30:15
-OLrolrO14KJZKcB5Ct-,0.98,-0.62,-10.87,-0.02,-0.02,-0.05,54.42,101133.61,2025-03-21T15:30:21.027244,32.07,2025-03-21 15:30:20
-OLronAlHWI0DgV-VSIa,1.08,-0.76,-10.95,-0.02,0,-0.05,54.5,101133.72,2025-03-21T15:30:26.051042,31.96,2025-03-21 15:30:25
-OLrooJBFoCOikQFYwKg,0.99,-0.71,-10.91,-0.02,0,-0.05,54.73,101135.23,2025-03-21T15:30:31.073122,31.92,2025-03-21 15:30:30
-OLropVxwt6OV87jc9TI,1.06,-0.7,-10.96,-0.02,0,-0.05,54.96,101132.12,2025-03-21T15:30:35.992719,32.03,2025-03-21 15:30:35
-OLroql3YPtpbkuanaM0,1.03,-0.75,-10.88,-0.02,0,-0.05,55.15,101135.8,2025-03-21T15:30:41.114343,32.11,2025-03-21 15:30:40
-OLrorxlRwDKZIJnsrON,0.98,-0.76,-10.81,-0.02,0.01,-0.05,55.27,101133.48,2025-03-21T15:30:46.030525,32.09,2025-03-21 15:30:45
-OLrotBAgFulxR6DimiP,1.06,-0.65,-10.9,-0.02,0,-0.05,55.28,101136.64,2025-03-21T15:30:51.048849,32.12,2025-03-21 15:30:50
-OLrp-hhl2DiJ9nj9E1r,1.03,-0.73,-10.81,-0.02,0,-0.05,55.47,101130.92,2025-03-21T15:31:21.876256,32.34,2025-03-21 15:31:21
-OLrp0udZ2zePV_uObAx,1.13,-0.68,-10.98,-0.02,0,-0.05,55.46,101130.06,2025-03-21T15:31:26.791645,32.29,2025-03-21 15:31:26
-OLrpEUzobPoaWuC1wFp,-1.56,4.45,6.59,0.16,-0.36,-0.22,56.72,101135.46,2025-03-21T15:32:22.088810,32.85,2025-03-21 15:32:21
